arm,segment,step,scored_px,ink_px,best_f1,best_threshold,precision,recall,iou,balanced_accuracy
loso42,w035,075000,1069617,333586,0.6204,68,0.5586,0.6974,0.4497,0.7238
loso43,w035,010000,1069617,333586,0.6152,83,0.5920,0.6402,0.4442,0.7201
loso43,w035,020000,1069617,333586,0.6789,82,0.6513,0.7089,0.5138,0.7684
loso43,w035,030000,1069617,333586,0.6523,77,0.5989,0.7163,0.4840,0.7494
loso43,w035,040000,1069617,333586,0.6138,70,0.5330,0.7235,0.4428,0.7181
loso43,w035,050000,1069617,333586,0.6252,72,0.5786,0.6800,0.4548,0.7278
loso43,w035,060000,1069617,333586,0.6359,73,0.6095,0.6647,0.4662,0.7358
loso43,w035,075000,1069617,333586,0.6397,71,0.6144,0.6671,0.4702,0.7387
ref42,w035,010000,1069617,333586,0.7752,134,0.7471,0.8053,0.6329,0.8409
ref42,w035,020000,1069617,333586,0.8525,125,0.8495,0.8555,0.7429,0.8934
ref42,w035,030000,1069617,333586,0.9156,126,0.9073,0.9240,0.8443,0.9406
ref42,w035,040000,1069617,333586,0.9428,124,0.9420,0.9436,0.8917,0.9586
ref42,w035,050000,1069617,333586,0.9624,129,0.9617,0.9631,0.9276,0.9729
ref42,w035,060000,1069617,333586,0.9715,132,0.9717,0.9713,0.9446,0.9793
ref42,w035,075000,1069617,333586,0.9785,124,0.9791,0.9779,0.9579,0.9842
ref43,w035,010000,1069617,333586,0.7657,123,0.7872,0.7454,0.6203,0.8270
ref43,w035,020000,1069617,333586,0.8371,119,0.8279,0.8466,0.7199,0.8834
ref43,w035,030000,1069617,333586,0.8931,123,0.8816,0.9050,0.8069,0.9249
ref43,w035,040000,1069617,333586,0.9320,137,0.9255,0.9387,0.8727,0.9522
ref43,w035,050000,1069617,333586,0.9483,129,0.9480,0.9485,0.9016,0.9625
ref43,w035,060000,1069617,333586,0.9642,129,0.9631,0.9653,0.9309,0.9743
ref43,w035,075000,1069617,333586,0.9732,125,0.9708,0.9756,0.9477,0.9811
loso42,w039,010000,574928,182382,0.5451,76,0.4113,0.8078,0.3746,0.6353
